model,short_model,station,forecast_datetime_gmt,datetime,tz_offset,CIG,CLD,DPT,Max_Temperature,Min_Temperature,OBV,P06,P12,P24,POS,POZ,PRS,PSN,PZP,Q06,Q12,Q24,SNW,T06,T12,T24,TMP,TYP,VIS,WDR,WND,WSP
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 00:00:00,2020-03-22 00:00:00,+0000,,PC,69,82,68,,,37,,,,,,,,0,,,,,,79,,,,8,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 00:00:00,2020-03-22 12:00:00,+0000,,PC,65,82,68,,,28,,,,,,,,0,,,,,,70,,,,8,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 00:00:00,2020-03-23 00:00:00,+0000,,PC,66,82,66,,,17,35,,,,,,,0,0,,,,,80,,,,8,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 00:00:00,2020-03-23 12:00:00,+0000,,PC,59,82,66,,,65,35,,,,,,,1,0,,,,,69,,,,8,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 00:00:00,2020-03-24 00:00:00,+0000,,OV,61,80,63,,,34,54,,,,,,,0,1,,,,,79,,,,13,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 00:00:00,2020-03-24 12:00:00,+0000,,PC,56,80,63,,,56,54,,,,,,,1,1,,,,,67,,,,13,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 00:00:00,2020-03-25 00:00:00,+0000,,PC,58,80,64,,,46,75,,,,,,,1,1,,,,,79,,,,9,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 00:00:00,2020-03-25 12:00:00,+0000,,PC,57,80,64,,,60,75,,,,,,,1,1,,,,,67,,,,9,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 00:00:00,2020-03-26 00:00:00,+0000,,OV,58,81,64,,,49,91,,,,,,,1,2,,,,,79,,,,10,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 00:00:00,2020-03-26 12:00:00,+0000,,OV,56,81,64,,,44,91,,,,,,,1,2,,,,,67,,,,11,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 00:00:00,2020-03-27 00:00:00,+0000,,PC,59,80,64,,,27,66,,,,,,,0,1,,,,,78,,,,11,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 00:00:00,2020-03-27 12:00:00,+0000,,PC,56,80,64,,,54,66,,,,,,,1,1,,,,,67,,,,11,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 00:00:00,2020-03-28 00:00:00,+0000,,PC,59,80,64,,,31,64,,,,,,,,,,,,,78,,,,15,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 00:00:00,2020-03-28 12:00:00,+0000,,PC,55,80,64,,,58,64,,,,,,,,,,,,,67,,,,15,
GFSX MOS GUIDANCE,GFSX,PHBK,2020-03-21 00:00:00,2020-03-29 00:00:00,+0000,,PC,59,79,,,,,58,,,,,,,,,,,,,78,,,,15,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 00:00:00,2020-03-22 00:00:00,+0000,,PC,69,77,66,,,25,,,,,,,,0,,,,,,74,,,,7,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 00:00:00,2020-03-22 12:00:00,+0000,,PC,64,77,66,,,10,,,,,,,,0,,,,,,68,,,,7,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 00:00:00,2020-03-23 00:00:00,+0000,,PC,63,76,66,,,15,30,,,,,,,0,0,,,,,75,,,,11,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 00:00:00,2020-03-23 12:00:00,+0000,,PC,62,76,66,,,15,30,,,,,,,0,0,,,,,68,,,,11,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 00:00:00,2020-03-24 00:00:00,+0000,,PC,59,74,63,,,17,27,,,,,,,0,0,,,,,72,,,,15,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 00:00:00,2020-03-24 12:00:00,+0000,,PC,56,74,63,,,13,27,,,,,,,0,0,,,,,65,,,,15,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 00:00:00,2020-03-25 00:00:00,+0000,,PC,57,75,65,,,20,19,,,,,,,0,0,,,,,73,,,,16,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 00:00:00,2020-03-25 12:00:00,+0000,,PC,60,75,65,,,11,19,,,,,,,0,0,,,,,67,,,,16,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 00:00:00,2020-03-26 00:00:00,+0000,,PC,60,74,64,,,15,25,,,,,,,0,0,,,,,73,,,,15,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 00:00:00,2020-03-26 12:00:00,+0000,,PC,59,74,64,,,15,25,,,,,,,0,0,,,,,66,,,,15,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 00:00:00,2020-03-27 00:00:00,+0000,,PC,58,75,63,,,14,26,,,,,,,0,0,,,,,74,,,,13,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 00:00:00,2020-03-27 12:00:00,+0000,,PC,59,75,63,,,18,26,,,,,,,0,0,,,,,65,,,,13,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 00:00:00,2020-03-28 00:00:00,+0000,,PC,57,76,62,,,19,30,,,,,,,,,,,,,74,,,,11,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 00:00:00,2020-03-28 12:00:00,+0000,,PC,58,76,62,,,20,30,,,,,,,,,,,,,64,,,,11,
GFSX MOS GUIDANCE,GFSX,PHHI,2020-03-21 00:00:00,2020-03-29 00:00:00,+0000,,PC,57,75,,,,,27,,,,,,,,,,,,,73,,,,13,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 00:00:00,2020-03-22 00:00:00,+0000,,PC,66,80,,,,17,,,,,,,,0,,,,,,78,,,,10,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 00:00:00,2020-03-22 12:00:00,+0000,,PC,,80,,,,8,,,,,,,,0,,,,,,,,,,11,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 00:00:00,2020-03-23 00:00:00,+0000,,PC,64,77,,,,23,36,,,,,,,0,0,,,,,76,,,,16,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 00:00:00,2020-03-23 12:00:00,+0000,,CL,,77,,,,28,36,,,,,,,0,0,,,,,,,,,16,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 00:00:00,2020-03-24 00:00:00,+0000,,PC,61,76,,,,25,38,,,,,,,0,0,,,,,75,,,,19,
GFSX MOS GUIDANCE,GFSX,PHJH,2020-03-21 00:00:00,2020-03-24 12:00:00,+0000,,PC,,76,,,,23,38,,,,,,,0,0,,,,,,,,,20,
